243: ['3:26:21', '1996', 'm', 'u']
244: ['3:26:22', '1980', 'w', 'u']
245: ['3:26:31', '2000', 'm', 'u']
246: ['3:26:32', '1976', 'm', 'u']
247: ['3:26:33', '1991', 'm', 'u']
248: ['3:26:35', '1989', 'm', 'u']
249: ['3:26:36', '1973', 'm', 'u']
250: ['3:26:46', '1991', 'm', 'u']
251: ['3:26:51', '1995', 'm', 'u']
252: ['3:26:52', '2001', 'w', 'u']
253: ['3:26:54', '1996', 'm', 'u']
254: ['3:26:56', '1996', 'w', 'u']
255: ['3:26:57', '2003', 'm', 'u']
256: ['3:27:03', '1999', 'm', 'u']
257: ['3:27:07', '1995', 'w', 'u']
258: ['3:27:24', '1998', 'w', 'u']
259: ['3:27:25', '1989', 'm', 'u']
260: ['3:27:26', '1994', 'w', 'u']
261: ['3:27:29', '2000', 'm', 'u']
262: ['3:27:38', '2002', 'm', 'u']
263: ['3:27:54', '1992', 'w', 'u']
264: ['3:27:56', '1989', 'm', 'u']
265: ['3:28:02', '1984', 'm', 'u']
266: ['3:28:03', '1997', 'm', 'u']
267: ['3:28:03', '1975', 'm', 'u']
268: ['3:28:03', '1983', 'm', 'u']
269: ['3:28:04', '1982', 'm', 'u']
270: ['3:28:06', '1999', 'm', 'u']
271: ['3:28:15', '1999', 'm', 'u']
272: ['3:28:20', '1985', 'm', 'u']
273: ['3:28:21', '1991', 'm', 'u']
274: ['3:28:26', '1985', 'm', 'u']
275: ['3:28:26', '2004', 'm', 'u']
276: ['3:28:28', '1987', 'm', 'u']
277: ['3:28:31', '1967', 'm', 'u']
278: ['3:28:34', '1992', 'm', 'u']
279: ['3:28:35', '1987', 'm', 'u']
281: ['3:28:44', '1977', 'm', 'u']
282: ['3:28:57', '1980', 'm', 'u']
283: ['3:28:57', '1994', 'm', 'u']
284: ['3:28:58', '1994', 'm', 'u']
285: ['3:29:02', '1996', 'm', 'u']
286: ['3:29:07', '1986', 'w', 'u']
287: ['3:29:11', '1991', 'm', 'u']
288: ['3:29:15', '1998', 'm', 'u']
289: ['3:29:19', '1999', 'm', 'u']
290: ['3:29:19', '1992', 'm', 'u']
291: ['3:29:21', '2002', 'm', 'u']
292: ['3:29:38', '1991', 'm', 'u']
293: ['3:29:38', '2007', 'm', 'u']
294: ['3:29:39', '2004', 'm', 'u']
295: ['3:29:47', '1985', 'm', 'u']
296: ['3:29:47', '1977', 'm', 'u']
297: ['3:29:48', '1985', 'm', 'u']
298: ['3:29:56', '1971', 'm', 'u']
299: ['3:29:59', '1988', 'w', 'u']
300: ['3:30:01', '1968', 'm', 'u']
301: ['3:30:04', '1979', 'w', 'u']
302: ['3:30:04', '2000', 'm', 'u']
303: ['3:30:04', '1984', 'm', 'u']
304: ['3:30:10', '2000', 'm', 'u']
305: ['3:30:18', '2000', 'm', 'u']
306: ['3:30:22', '1978', 'm', 'u']
307: ['3:30:24', '2002', 'm', 'u']
308: ['3:30:24', '1988', 'w', 'u']
309: ['3:30:25', '1983', 'm', 'u']
310: ['3:30:27', '1999', 'm', 'u']
311: ['3:30:28', '2000', 'm', 'u']
312: ['3:30:31', '1991', 'm', 'u']
313: ['3:30:38', '2001', 'm', 'u']
314: ['3:30:44', '1988', 'm', 'u']
315: ['3:30:47', '2000', 'm', 'u']
316: ['3:30:48', '2003', 'm', 'u']
317: ['3:30:56', '2000', 'm', 'u']
318: ['3:31:02', '1982', 'm', 'u']
319: ['3:31:14', '2002', 'm', 'u']
320: ['3:31:23', '1991', 'm', 'u']
321: ['3:31:45', '1995', 'm', 'u']
322: ['3:31:53', '1987', 'm', 'u']
323: ['3:31:54', '1986', 'm', 'u']
324: ['3:32:01', '1986', 'w', 'u']
325: ['3:32:02', '1995', 'm', 'u']
326: ['3:32:02', '1986', 'm', 'u']
327: ['3:32:11', '1963', 'm', 'u']
328: ['3:32:12', '1968', 'm', 'u']
329: ['3:32:17', '1992', 'm', 'u']
330: ['3:32:22', '1958', 'm', 'u']
331: ['3:32:24', '1996', 'w', 'u']
332: ['3:32:28', '1976', 'm', 'u']
333: ['3:32:37', '1987', 'm', 'u']
334: ['3:32:40', '1976', 'm', 'u']
336: ['3:32:42', '1967', 'm', 'u']
337: ['3:32:46', '2000', 'm', 'u']
338: ['3:32:46', '1994', 'm', 'u']
339: ['3:32:51', '1999', 'm', 'u']
340: ['3:32:58', '2005', 'm', 'u']
341: ['3:32:59', '1992', 'm', 'u']
342: ['3:33:00', '1993', 'w', 'u']
343: ['3:33:06', '2003', 'm', 'u']
344: ['3:33:26', '1982', 'm', 'u']
345: ['3:33:49', '1986', 'm', 'u']
346: ['3:33:53', '1998', 'm', 'u']
347: ['3:34:01', '2005', 'w', 'u']
348: ['3:34:02', '1972', 'm', 'u']
349: ['3:34:05', '2005', 'm', 'u']
350: ['3:34:16', '1999', 'm', 'u']
351: ['3:34:19', '2001', 'm', 'u']
352: ['3:34:25', '1969', 'm', 'u']
353: ['3:34:27', '1962', 'm', 'u']
354: ['3:34:35', '1988', 'm', 'u']
355: ['3:34:41', '1985', 'm', 'u']
356: ['3:34:50', '2006', 'w', 'u']
357: ['3:34:52', '1984', 'w', 'u']
358: ['3:35:03', '1989', 'm', 'u']
359: ['3:35:04', '2005', 'm', 'u']
360: ['3:35:29', '1970', 'm', 'u']
361: ['3:35:29', '1980', 'm', 'u']
362: ['3:35:30', '2005', 'w', 'u']
363: ['3:35:35', '2004', 'm', 'u']
364: ['3:35:38', '2007', 'm', 'u']
365: ['3:35:39', '1992', 'm', 'u']
366: ['3:35:43', '1977', 'm', 'u']
367: ['3:35:46', '1977', 'm', 'u']
368: ['3:35:46', '1994', 'm', 'u']
369: ['3:35:49', '1963', 'm', 'u']
370: ['3:36:04', '1995', 'm', 'u']
371: ['3:36:05', '1983', 'm', 'u']
372: ['3:36:11', '1997', 'm', 'u']
373: ['3:36:19', '1997', 'm', 'u']
374: ['3:36:20', '1994', 'w', 'u']
375: ['3:36:32', '1997', 'm', 'u']
376: ['3:36:42', '1995', 'm', 'u']
377: ['3:36:46', '1968', 'm', 'u']
378: ['3:37:01', '2003', 'm', 'u']
379: ['3:37:04', '1999', 'm', 'u']
380: ['3:37:09', '1983', 'm', 'u']
381: ['3:37:11', '1968', 'm', 'u']
382: ['3:37:15', '1998', 'm', 'u']
383: ['3:37:19', '1995', 'w', 'u']
384: ['3:37:20', '1986', 'm', 'u']
385: ['3:37:26', '1997', 'm', 'u']
386: ['3:37:28', '1996', 'w', 'u']
387: ['3:37:47', '2025', 'm', 'u']
388: ['3:37:47', '2025', 'w', 'u']
389: ['3:37:49', '1997', 'w', 'u']
391: ['3:37:55', '1987', 'm', 'u']
392: ['3:37:55', '1986', 'm', 'u']
393: ['3:38:01', '1991', 'm', 'u']
394: ['3:38:15', '2005', 'm', 'u']
395: ['3:38:18', '1993', 'm', 'u']
396: ['3:38:27', '1998', 'm', 'u']
397: ['3:38:31', '2025', 'm', 'u']
398: ['3:38:32', '1969', 'm', 'u']
399: ['3:38:33', '1984', 'm', 'u']
400: ['3:38:34', '1986', 'm', 'u']
401: ['3:38:40', '1975', 'm', 'u']
402: ['3:38:44', '1980', 'm', 'u']
403: ['3:38:48', '1995', 'w', 'u']
404: ['3:38:52', '1990', 'm', 'u']
405: ['3:38:53', '1970', 'm', 'u']
406: ['3:38:55', '1983', 'm', 'u']
407: ['3:38:58', '2002', 'm', 'u']
408: ['3:39:04', '1994', 'w', 'u']
409: ['3:39:05', '1971', 'w', 'u']
410: ['3:39:10', '1971', 'm', 'u']
411: ['3:39:16', '1979', 'm', 'u']
412: ['3:39:20', '1988', 'm', 'u']
413: ['3:39:20', '1999', 'm', 'u']
414: ['3:39:23', '1986', 'm', 'u']
415: ['3:39:23', '1993', 'w', 'u']
416: ['3:39:34', '1994', 'm', 'u']
417: ['3:39:35', '1987', 'm', 'u']
418: ['3:39:39', '1995', 'm', 'u']
419: ['3:39:40', '1965', 'm', 'u']
420: ['3:39:41', '1994', 'w', 'u']
421: ['3:39:45', '1997', 'm', 'u']
422: ['3:39:48', '1977', 'm', 'u']
423: ['3:39:51', '1973', 'm', 'u']
424: ['3:39:54', '2002', 'm', 'u']
425: ['3:39:55', '1992', 'm', 'u']
426: ['3:40:03', '1998', 'w', 'u']
427: ['3:40:04', '2007', 'm', 'u']
428: ['3:40:04', '1995', 'm', 'u']
429: ['3:40:05', '1979', 'm', 'u']
430: ['3:40:07', '1975', 'm', 'u']
431: ['3:40:10', '1993', 'm', 'u']
432: ['3:40:13', '1996', 'm', 'u']
433: ['3:40:14', '1982', 'm', 'u']
434: ['3:40:17', '1999', 'w', 'u']
435: ['3:40:17', '1990', 'm', 'u']
436: ['3:40:19', '1973', 'm', 'u']
437: ['3:40:24', '1971', 'm', 'u']
438: ['3:40:25', '1998', 'm', 'u']
439: ['3:40:33', '2007', 'm', 'u']
440: ['3:40:42', '1984', 'm', 'u']
441: ['3:40:54', '1977', 'm', 'u']
442: ['3:40:57', '1997', 'm', 'u']
443: ['3:41:00', '1994', 'm', 'u']
444: ['3:41:07', '1983', 'w', 'u']
446: ['3:41:12', '2003', 'm', 'u']
447: ['3:41:15', '1979', 'm', 'u']
448: ['3:41:32', '1976', 'm', 'u']
449: ['3:41:35', '1975', 'w', 'u']
450: ['3:41:37', '1975', 'm', 'u']
451: ['3:41:39', '2003', 'm', 'u']
452: ['3:41:39', '1983', 'm', 'u']
453: ['3:41:45', '1991', 'm', 'u']
454: ['3:41:50', '1996', 'w', 'u']
455: ['3:41:51', '2004', 'm', 'u']
456: ['3:41:54', '2003', 'm', 'u']
457: ['3:41:55', '1988', 'm', 'u']
458: ['3:41:58', '1969', 'm', 'u']
459: ['3:42:00', '1977', 'm', 'u']
460: ['3:42:09', '1979', 'm', 'u']
461: ['3:42:15', '2002', 'm', 'u']
462: ['3:42:27', '2003', 'm', 'u']
463: ['3:42:30', '1972', 'm', 'u']
464: ['3:42:31', '1996', 'm', 'u']
465: ['3:42:34', '1993', 'm', 'u']
466: ['3:42:45', '1998', 'w', 'u']
467: ['3:42:45', '1986', 'm', 'u']
468: ['3:42:50', '1998', 'm', 'u']
469: ['3:42:51', '1969', 'm', 'u']
470: ['3:42:51', '1979', 'm', 'u']
471: ['3:42:53', '1985', 'm', 'u']
472: ['3:42:53', '2001', 'w', 'u']
473: ['3:42:54', '2004', 'w', 'u']
474: ['3:42:56', '1977', 'm', 'u']
475: ['3:42:58', '1981', 'm', 'u']
476: ['3:43:01', '1987', 'm', 'u']
477: ['3:43:01', '1983', 'm', 'u']
478: ['3:43:10', '1969', 'm', 'u']
479: ['3:43:12', '1973', 'm', 'u']
480: ['3:43:12', '1982', 'm', 'u']
481: ['3:43:12', '1954', 'm', 'u']
482: ['3:43:13', '1994', 'm', 'u']
483: ['3:43:16', '1985', 'm', 'u']
484: ['3:43:19', '2003', 'w', 'u']
485: ['3:43:20', '2004', 'm', 'u']
486: ['3:43:20', '1967', 'm', 'u']
487: ['3:43:22', '1991', 'm', 'u']
488: ['3:43:23', '1993', 'w', 'u']
489: ['3:43:23', '1992', 'm', 'u']
490: ['3:43:24', '1999', 'm', 'u']
491: ['3:43:24', '1990', 'w', 'u']
492: ['3:43:25', '2005', 'm', 'u']
493: ['3:43:28', '1969', 'w', 'u']
494: ['3:43:29', '2002', 'm', 'u']
495: ['3:43:39', '1999', 'm', 'u']
496: ['3:43:39', '1983', 'm', 'u']
497: ['3:43:44', '1995', 'm', 'u']
498: ['3:43:47', '2000', 'm', 'u']
499: ['3:43:52', '1993', 'm', 'u']
501: ['3:43:52', '1966', 'm', 'u']
502: ['3:43:54', '1973', 'm', 'u']
503: ['3:43:54', '1997', 'w', 'u']
504: ['3:43:55', '1957', 'm', 'u']
505: ['3:43:56', '1973', 'm', 'u']
506: ['3:44:03', '1994', 'm', 'u']
507: ['3:44:03', '1997', 'm', 'u']
508: ['3:44:06', '1989', 'w', 'u']
509: ['3:44:09', '1980', 'm', 'u']
510: ['3:44:13', '1987', 'm', 'u']
511: ['3:44:16', '1995', 'm', 'u']
512: ['3:44:20', '1989', 'm', 'u']
513: ['3:44:20', '8070', 'm', 'u']
514: ['3:44:31', '1999', 'w', 'u']
515: ['3:44:34', '1970', 'm', 'u']
516: ['3:44:39', '2000', 'm', 'u']
517: ['3:44:56', '1993', 'w', 'u']
518: ['3:44:58', '1998', 'w', 'u']
519: ['3:45:03', '1979', 'm', 'u']
520: ['3:45:04', '1979', 'm', 'u']
521: ['3:45:17', '1982', 'm', 'u']
522: ['3:45:21', '1980', 'm', 'u']
523: ['3:45:35', '1996', 'w', 'u']
524: ['3:45:36', '1996', 'm', 'u']
525: ['3:45:37', '1996', 'm', 'u']
526: ['3:45:42', '1994', 'w', 'u']
527: ['3:45:42', '1990', 'm', 'u']
528: ['3:45:44', '1992', 'm', 'u']
