209: ['3:02:31', '1985', 'M', 'GER']
210: ['3:02:42', '1988', 'M', 'GER']
211: ['3:02:46', '1995', 'M', 'TSV']
212: ['3:02:52', '2002', 'U', 'FRA']
213: ['3:03:01', '1976', 'M', 'GER']
214: ['3:03:02', '1994', 'W', 'SUI']
215: ['3:03:04', '1987', 'M', 'GER']
216: ['3:03:10', '1991', 'M', 'GER']
217: ['3:03:18', '1990', 'M', 'AUT']
218: ['3:03:26', '1982', 'M', 'GER']
219: ['3:03:27', '1995', 'M', 'TSV']
220: ['3:03:27', '2002', 'U', 'GER']
221: ['3:03:30', '1985', 'M', 'FRA']
222: ['3:03:34', '2003', 'U', 'ITA']
223: ['3:03:34', '1994', 'M', 'GER']
224: ['3:03:35', '1985', 'M', 'GER']
225: ['3:03:35', '1991', 'W', 'GER']
226: ['3:03:36', '1995', 'M', 'GER']
227: ['3:03:38', '1988', 'W', 'GBR']
228: ['3:03:45', '1999', 'M', 'GER']
229: ['3:03:49', '1988', 'M', 'CHN']
230: ['3:03:50', '1998', 'M', 'FRA']
231: ['3:04:03', '1996', 'M', 'GER']
232: ['3:04:11', '1993', 'M', 'GER']
233: ['3:04:19', '1990', 'M', 'GER']
234: ['3:04:27', '1981', 'M', 'GER']
235: ['3:04:28', '1997', 'M', 'ITA']
236: ['3:04:36', '1975', 'M', 'FCN']
237: ['3:04:42', '2003', 'U', 'SUI']
238: ['3:04:44', '1990', 'M', 'GER']
239: ['3:04:44', '1991', 'M', 'GER']
240: ['3:04:48', '1983', 'M', 'BRA']
241: ['3:04:54', '2000', 'M', 'GER']
242: ['3:05:00', '1996', 'M', 'FRA']
243: ['3:05:04', '2001', 'M', 'GER']
244: ['3:05:05', '1975', 'M', 'ITA']
245: ['3:05:06', '1976', 'M', 'SGP']
246: ['3:05:35', '1983', 'M', 'AUT']
247: ['3:05:37', '1987', 'M', 'GER']
248: ['3:05:41', '1994', 'W', 'TSV']
249: ['3:05:46', '1982', 'M', 'SUI']
250: ['3:05:59', '2001', 'M', 'FRA']
251: ['3:06:09', '1988', 'M', 'GER']
252: ['3:06:17', '1981', 'M', 'FRA']
253: ['3:06:19', '1997', 'M', 'GER']
254: ['3:06:23', '1983', 'M', 'USA']
255: ['3:06:30', '1980', 'M', 'SUI']
256: ['3:06:30', '1984', 'M', 'ITA']
257: ['3:06:37', '1983', 'M', 'ITA']
258: ['3:06:40', '1991', 'M', 'FRA']
259: ['3:06:49', '1988', 'M', 'GER']
260: ['3:06:54', '1998', 'M', 'GER']
261: ['3:07:01', '1994', 'M', 'GER']
262: ['3:07:02', '1981', 'M', 'RSA']
263: ['3:07:05', '1997', 'M', 'WSV']
264: ['3:07:11', '1974', 'M', 'ESP']
265: ['3:07:13', '1995', 'M', 'JPN']
266: ['3:07:24', '1989', 'M', 'GER']
267: ['3:07:25', '1997', 'W', 'SAS']
268: ['3:07:25', '1988', 'M', 'LUX']
269: ['3:07:26', '1995', 'M', 'ESP']
270: ['3:07:29', '1989', 'M', 'GER']
271: ['3:07:30', '1995', 'W', 'GER']
272: ['3:07:37', '1977', 'M', 'BRA']
273: ['3:07:41', '1972', 'M', 'TSV']
274: ['3:07:42', '1983', 'M', 'ITA']
275: ['3:07:42', '1991', 'W', 'ITA']
276: ['3:07:44', '1991', 'M', 'FRA']
277: ['3:07:45', '1990', 'M', 'TSV']
278: ['3:07:58', '1984', 'W', 'GER']
279: ['3:08:01', '1989', 'M', 'ITA']
280: ['3:08:03', '1986', 'M', 'GER']
281: ['3:08:04', '1983', 'M', 'JPN']
282: ['3:08:09', '1994', 'M', 'GER']
283: ['3:08:11', '1996', 'M', 'ACP']
284: ['3:08:19', '1990', 'M', 'GER']
285: ['3:08:20', '1991', 'M', 'BRA']
286: ['3:08:27', '1973', 'M', 'NOR']
287: ['3:08:30', '1980', 'M', 'GER']
288: ['3:08:44', '1986', 'M', 'GER']
289: ['3:08:45', '1976', 'M', 'SUI']
